,precision,recall,f1-score,support
High,0.6479371316306484,0.3619402985074627,0.4644416279397268,4556.0
Low,0.769482929242949,0.7490968208092486,0.7591530388088845,16608.0
Medium,0.4552098559198162,0.6117581029886348,0.5219994013768333,7127.0
accuracy,0.6521508606977484,0.6521508606977484,0.6521508606977484,0.6521508606977484
macro avg,0.6242099722644712,0.574265074101782,0.5818646893751481,28291.0
weighted avg,0.6707382101628313,0.6521508606977484,0.6519493640749369,28291.0
