,precision,recall,f1-score,support
High,0.6620839363241678,0.6025021949078139,0.6308894507009883,4556.0
Low,0.7970545576257949,0.8603082851637764,0.8274743730816007,16608.0
Medium,0.6549284450876347,0.5714887049249333,0.6103701483590589,7127.0
accuracy,0.7460323070941288,0.7460323070941288,0.7460323070941288,0.7460323070941288
macro avg,0.7046889796791991,0.6780997283321746,0.6895779907138827,28291.0
weighted avg,0.7395147409098894,0.7460323070941288,0.7411238476154233,28291.0
