,precision,recall,f1-score,support
High,0.704812834224599,0.5785776997366111,0.6354869816779171,4556.0
Low,0.7971567651288859,0.8677143545279383,0.830940437063945,16608.0
Medium,0.6553375560018538,0.5952013469903185,0.6238235294117647,7127.0
accuracy,0.7525007953059277,0.7525007953059277,0.7525007953059277,0.7525007953059277
macro avg,0.7191023851184463,0.6804978004182893,0.696750316051209,28291.0
weighted avg,0.7465588911531237,0.7525007953059277,0.7472881043936318,28291.0
